NINT;poids;DATE_CONTACT;mois;jour;quest_debut;quest_fin;SEXE;AG99;AGE_REP;ANNEE_REP;eqtv;Recept_ADSL;Recept_Para;Recept_elargie;Recept_tradi;abcp;abon_adsl;abon_elargie;habtv1;habtv2;habtv3;habtv4;habtv5;habtv6;habtv7;habtv8;habtv9;habtv10;init1;init2;init3;init4;init5;init6;init7;init8;init9;init10
170;0,53;07/04/2014;4;7;14:26:02;14:47:29;2;35;4;1979;1;0;1;1;0;2;2;1;2;3;5;3;3;4;5;5;2;3;1;1;2;1;1;1;1;2;1;1
171;0,53;07/04/2014;4;7;14:43:43;14:56:03;2;43;4;1971;1;0;1;1;1;1;2;0;4;4;1;2;1;4;5;5;5;1;1;1;1;1;1;1;1;1;2;1
172;5,24;07/04/2014;4;7;14:36:58;15:12:58;2;23;2;1991;1;0;1;1;0;1;2;1;1;1;3;1;1;1;4;3;5;4;1;1;1;1;1;1;1;1;2;1
174;5,44;07/04/2014;4;7;14:26:45;15:20:04;1;47;4;1967;1;0;1;1;0;2;2;1;1;2;5;1;1;1;1;1;5;2;1;1;2;1;1;1;2;1;2;1
175;0,54;07/04/2014;4;7;14:56:27;15:23:43;1;37;4;1977;1;0;1;1;1;2;2;0;1;5;5;5;5;5;5;5;5;1;1;2;2;2;2;2;2;2;1;1
176;0,72;07/04/2014;4;7;15:11:56;15:45:55;1;27;3;1987;1;0;0;0;1;2;2;0;1;5;5;5;5;5;4;5;2;2;1;2;2;1;2;2;2;2;1;1
177;0,78;07/04/2014;4;7;15:31:07;15:47:32;1;18;1;1996;1;0;0;1;0;2;1;1;1;2;5;1;2;2;5;5;4;5;1;1;2;1;1;1;2;2;1;1
178;1,46;07/04/2014;4;7;15:30:03;15:53:28;2;25;3;1989;1;0;1;1;0;1;2;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1
179;0,62;07/04/2014;4;7;15:24:00;15:53:40;1;24;2;1990;1;0;1;1;1;2;2;0;3;5;5;5;5;5;4;3;4;3;1;1;2;1;2;1;1;1;1;1
18;2,06;31/03/2014;3;7;15:51:25;16:17:18;2;20;2;1994;1;0;1;1;0;2;2;1;1;1;5;1;5;2;5;5;5;3;1;1;2;1;2;1;2;1;2;1
181;4,97;07/04/2014;4;7;15:28:28;16:01:12;2;13;1;2001;1;0;1;1;0;1;1;1;1;4;1;1;1;4;3;3;5;4;1;1;1;1;1;1;1;1;2;1
183;0,75;07/04/2014;4;7;16:05:30;16:20:05;1;17;1;1997;1;0;1;1;0;2;2;1;1;4;4;2;5;2;5;4;2;1;1;1;2;1;1;1;1;1;1;1
184;0,93;07/04/2014;4;7;16:32:43;16:51:41;1;56;5;1958;1;0;0;1;0;2;1;1;1;1;3;1;1;1;5;5;5;1;1;1;1;1;1;1;2;2;1;1
186;4,94;07/04/2014;4;7;16:34:11;16:58:28;1;17;1;1997;1;0;0;1;0;2;1;1;1;1;5;2;2;2;2;2;5;3;1;1;2;1;1;1;2;1;2;1
187;4,83;07/04/2014;4;7;16:48:04;17:04:20;2;30;3;1984;1;0;1;1;0;2;1;1;2;2;5;2;2;2;2;2;3;2;1;1;1;1;1;1;1;2;1;1
188;1,04;07/04/2014;4;7;16:58:31;17:10:29;2;13;1;2001;0;0;0;0;0;2;2;0;5;5;5;4;4;5;5;5;5;4;;;;;;;;;;
189;0,56;07/04/2014;4;7;16:53:31;17:11:11;2;49;4;1965;1;0;1;1;0;2;2;1;3;3;5;3;2;3;5;5;3;3;1;1;2;1;1;1;2;2;1;1
19;0,6;31/03/2014;3;7;16:11:45;16:33:50;2;17;1;1997;1;0;0;1;0;1;1;1;1;1;1;1;3;1;2;2;5;3;1;1;1;1;1;1;1;1;1;1
191;0,77;07/04/2014;4;7;17:03:04;17:22:01;2;15;1;1999;1;0;1;1;0;2;2;1;1;1;5;5;2;1;5;5;1;3;1;1;2;1;1;1;2;2;1;1
